External ID,Date,Product/Internal Reference,Quantity Done,Source Location/Display Name,Destination Location/Display Name
__export__.stock_move_1181046_2818cff7,2021-12-28 12:31:51,AMP-X127,100,SS/Output,Partner Locations/Customers
__export__.stock_move_1181048_ae512c13,2021-12-28 12:31:51,AMP-X125,26,SS/Output,Partner Locations/Customers
__export__.stock_move_1182798_2093e5c9,2022-01-19 11:33:18,STM32F405RGT6,200,SS/Output,Partner Locations/Customers
__export__.stock_move_1182802_67e12746,2022-01-19 11:33:18,STM32F030F4P6,172,SS/Output,Partner Locations/Customers
__export__.stock_move_1183104_4c346b0e,2021-12-07 07:44:57,AMP-E037,4,SS/Output,Partner Locations/Customers
__export__.stock_move_1183106_65dd4e6d,2021-12-07 07:44:57,AMP-X449,4,SS/Output,Partner Locations/Customers
__export__.stock_move_1183108_d6c644c7,2021-12-07 07:44:57,AMP-X553-EU,4,SS/Output,Partner Locations/Customers
__export__.stock_move_1183110_299bd43f,2021-12-07 07:44:57,AMP-E026,5,SS/Output,Partner Locations/Customers
__export__.stock_move_1183112_5d796329,2021-12-07 07:44:57,AMP-X449,5,SS/Output,Partner Locations/Customers
__export__.stock_move_1183114_10fd19b4,2021-12-07 07:44:57,AMP-X553-EU,5,SS/Output,Partner Locations/Customers
__export__.stock_move_1183118_044eea32,2021-12-07 07:44:57,AMP-X553-EU,6,SS/Output,Partner Locations/Customers
__export__.stock_move_1185032_5597ac3a,2021-12-15 12:30:13,AMP-S010-BI,143,SS/Output,Partner Locations/Customers
__export__.stock_move_1185034_dc2c6aed,2021-12-15 12:30:13,AMP-S035,143,SS/Output,Partner Locations/Customers
__export__.stock_move_1196840_03ab43b2,2022-01-27 15:33:26,AMP-B057,1,SS/Output,Partner Locations/Customers
__export__.stock_move_1196842_6b0bb2ff,2022-01-27 15:33:26,AMP-B063,1,SS/Output,Partner Locations/Customers
__export__.stock_move_1196844_386176e2,2022-01-27 15:33:26,AMP-B094,1,SS/Output,Partner Locations/Customers
__export__.stock_move_1196846_77cde80e,2022-01-27 15:33:26,AMP-B087,1,SS/Output,Partner Locations/Customers
__export__.stock_move_1196848_b3a8b981,2022-01-27 15:33:26,AMP-B182,7,SS/Output,Partner Locations/Customers
__export__.stock_move_1196850_b5b8c17e,2022-01-27 15:33:26,AMP-B127,1,SS/Output,Partner Locations/Customers
__export__.stock_move_1196852_0fc0ffe5,2022-01-27 15:33:26,AMP-B009,3,SS/Output,Partner Locations/Customers
__export__.stock_move_1196854_809379a7,2022-01-27 15:33:26,AMP-B079,6,SS/Output,Partner Locations/Customers
__export__.stock_move_1196856_4d88e3af,2022-01-27 15:33:26,AMP-B099,1,SS/Output,Partner Locations/Customers
__export__.stock_move_1196858_2e3446b7,2022-01-27 15:33:26,AMP-B003,6,SS/Output,Partner Locations/Customers
__export__.stock_move_1196860_2024f60a,2022-01-27 15:33:26,AMP-X021,2,SS/Output,Partner Locations/Customers
__export__.stock_move_1196862_a35b9d90,2022-01-27 15:33:26,AMP-W016,1,SS/Output,Partner Locations/Customers
__export__.stock_move_1196864_521d9ee9,2022-01-27 15:33:26,AMP-B062-Y,3,SS/Output,Partner Locations/Customers
__export__.stock_move_1196866_1b91c4c7,2022-01-27 15:33:26,AMP-B062-G,3,SS/Output,Partner Locations/Customers
__export__.stock_move_1196868_416cdcdb,2022-01-27 15:33:26,AMP-B062-R,3,SS/Output,Partner Locations/Customers
__export__.stock_move_1196870_4b68a283,2022-01-27 15:33:26,AMP-B062-B,3,SS/Output,Partner Locations/Customers
__export__.stock_move_1196872_e289a137,2022-01-27 15:33:26,AMP-B045,6,SS/Output,Partner Locations/Customers
__export__.stock_move_1196874_39643fb6,2022-01-27 15:33:26,AMP-B143,12,SS/Output,Partner Locations/Customers
__export__.stock_move_1197115_0ec50931,2021-12-01 12:54:29,AMP-S016,2,SS/Output,Partner Locations/Customers
__export__.stock_move_1197117_34f15aca,2021-12-01 12:54:29,AMP-S013,15,SS/Output,Partner Locations/Customers
__export__.stock_move_1197119_e8a8253a,2021-12-01 12:54:29,AMP-W007,2,SS/Output,Partner Locations/Customers
__export__.stock_move_1197121_6755583a,2021-12-01 12:54:29,AMP-F004,1,SS/Output,Partner Locations/Customers
__export__.stock_move_1197123_f65977f7,2021-12-01 12:54:29,AMP-X097,1,SS/Output,Partner Locations/Customers
__export__.stock_move_1198586_391329ed,2021-12-21 10:06:28,AMP-X268,50,SS/Output,Partner Locations/Customers
__export__.stock_move_1206152_559b0790,2022-01-12 06:29:20,AMP-X128,20,SS/Output,Partner Locations/Customers
__export__.stock_move_1214833_b1ad973d,2021-12-23 09:55:48,AMP-S030,44,SS/Output,Partner Locations/Customers
__export__.stock_move_1216571_9b1a052d,2021-12-26 09:47:14,AMP-X210,3,SS/Output,Partner Locations/Customers
__export__.stock_move_1218080_2fa28dbf,2022-01-11 12:30:51,AMP-S010,15,SS/Output,Partner Locations/Customers
__export__.stock_move_1218582_7befa8c7,2021-12-21 16:25:03,AMP-V14037,3,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1222561_9d0ef595,2021-12-08 12:36:55,AMP-S034,15,SS/Output,Partner Locations/Customers
__export__.stock_move_1222563_c2483f61,2021-12-08 12:36:55,AMP-S013,15,SS/Output,Partner Locations/Customers
__export__.stock_move_1222571_6ad7c7de,2021-12-07 13:46:06,A000066,2,SS/Output,Partner Locations/Customers
__export__.stock_move_1222599_2f1cbd9b,2021-12-01 15:17:04,AMP-B061,2,SS/Output,Partner Locations/Customers
__export__.stock_move_1222601_c99c53de,2021-12-01 15:17:04,AMP-B081,2,SS/Output,Partner Locations/Customers
__export__.stock_move_1222603_31b55e6e,2021-12-01 15:17:04,AMP-B045,3,SS/Output,Partner Locations/Customers
__export__.stock_move_1223764_2f984503,2022-01-25 10:48:24,AMP-S058,7,SS/Output,Partner Locations/Customers
__export__.stock_move_1224745_55ceefc8,2021-12-01 15:17:12,AMP-X320,1,SS/Output,Partner Locations/Customers
__export__.stock_move_1225575_cdd2f589,2021-12-10 08:21:42,AMP-B139,15,SS/Output,Partner Locations/Customers
__export__.stock_move_1227064_f3559fd9,2021-12-02 12:11:07,AMP-P003,2,SS/Output,Partner Locations/Customers
__export__.stock_move_1227109_3c99ee05,2021-12-01 12:54:52,AMP-S061,6,SS/Output,Partner Locations/Customers
__export__.stock_move_1227111_77aa112b,2021-12-01 12:54:52,AMP-V16381,5,SS/Output,Partner Locations/Customers
__export__.stock_move_1227113_ca158700,2021-12-01 12:54:52,AMP-S026,6,SS/Output,Partner Locations/Customers
__export__.stock_move_1227893_facb5bcc,2021-12-06 15:50:31,AMP-B139,40,SS/Output,Partner Locations/Customers
__export__.stock_move_1228341_e697b9f4,2022-01-11 12:30:57,A000053,15,SS/Output,Partner Locations/Customers
__export__.stock_move_1228540_edb15898,2021-12-15 12:45:08,AMP-S010,8,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1228822_f87a94d3,2021-12-02 11:31:28,AMP-V16642,1,SS/Output,Partner Locations/Customers
__export__.stock_move_1228880_d64d5239,2022-01-24 12:52:30,AMP-S061,1,SS/Output,Partner Locations/Customers
__export__.stock_move_1228882_42b00645,2022-01-24 12:52:30,AMP-S033,5,SS/Output,Partner Locations/Customers
__export__.stock_move_1228884_09c2cd32,2022-01-24 12:52:30,AMP-S040,10,SS/Output,Partner Locations/Customers
__export__.stock_move_1228886_dd8b863f,2022-01-24 12:52:30,AMP-S032,10,SS/Output,Partner Locations/Customers
__export__.stock_move_1228888_bd6c041e,2022-01-24 12:52:30,AMP-S013,7,SS/Output,Partner Locations/Customers
__export__.stock_move_1228892_db32827e,2022-01-24 12:52:30,AMP-X121,10,SS/Output,Partner Locations/Customers
__export__.stock_move_1228894_c9cc8a50,2022-01-24 12:52:30,AMP-X120,10,SS/Output,Partner Locations/Customers
__export__.stock_move_1228896_22d2ea49,2022-01-24 12:52:30,AMP-X118,10,SS/Output,Partner Locations/Customers
__export__.stock_move_1228947_367df1b3,2022-02-14 12:59:03,AMP-F006,10,SS/Output,Partner Locations/Customers
__export__.stock_move_1229029_7a72efaa,2021-12-01 12:50:19,AMP-X563,1,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1229130_08487e81,2021-12-01 15:17:47,AMP-B072,5,SS/Output,Partner Locations/Customers
