External ID;Creation Date;Display Name;Order Lines/Product/Internal Reference;Order Lines/Description;Order Lines/Quantity;Order Lines/Margin;Order Lines/Unit Price;Salesperson/Display Name;Payment Status;Delivery Status
__export__.sale_order_53666_4e172d94;44376,8549;SO-INS-145256;AMP-W030;[AMP-W030] Кабель 1m orange (HDMI-microHDMI);2;552,873;440;InSales;Fully Paid;Fully Shipped
;;;DFR0330;[DFR0330] Клавиатура Qwerty Pad;1;405,805;2140;;;
;;;AMP-E036;[AMP-E036] Официальная клавиатура Raspberry Pi;1;-834,734;2440;;;
;;;AMP-E035;[AMP-E035] Официальная мышь Raspberry Pi;1;77,676;1390;;;
;;;DLV-PP;Доставка в пункт самовывоза;1;240;240;;;
;;;DLV-PP;Доставка в пункт самовывоза;1;0;0;;;
;;;DLV-PP;Доставка в пункт самовывоза;1;0;0;;;
__export__.sale_order_53665_6a777f51;44376,84545;SO-INS-145255;AMP-X417;[AMP-X417] Электронный замок (27×28×18 мм);1;260,125;640;InSales;Fully Paid;Fully Shipped
;;;DLV-OFFICE;Самовывоз из магазина;1;0;0;;;
;;;DLV-OFFICE;Самовывоз из офиса;1;0;0;;;
;;;DLV-OFFICE;Самовывоз из офиса;1;0;0;;;
__export__.sale_order_53664_6a65b592;44376,81313;SO-INS-145254;AMP-S061;[AMP-S061] Малина v4 (8 ГБ);1;2778,01;12740;InSales;Fully Paid;Fully Shipped
;;;DLV-OFFICE;Самовывоз из магазина;1;0;0;;;
;;;DLV-OFFICE;Самовывоз из офиса;1;0;0;;;
;;;DLV-OFFICE;Самовывоз из офиса;1;0;0;;;
__export__.sale_order_53663_15a9dfc5;44376,7311;SO-INS-145253;AMP-S061;[AMP-S061] Малина v4 (8 ГБ);1;3308,844;12740;InSales;Fully Paid;Fully Shipped
;;;DLV-AX;Доставка курьером по Питеру;1;350;350;;;
;;;DLV-AX;Доставка курьером по СПб (Axilog);1;0;0;;;
;;;DLV-AX;Доставка курьером по СПб (Axilog);1;0;0;;;
__export__.sale_order_53661_f8499c7d;44376,71517;SO-INS-145251;AMP-S016;[AMP-S016] Микроник;2;1019,186;990;InSales;Fully Paid;Fully Shipped
;;;AMP-X358;[AMP-X358] Мультиметр DT832;1;390,472;790;;;
;;;DLV-OFFICE;Самовывоз из магазина;1;0;0;;;
;;;DLV-OFFICE;Самовывоз из офиса;1;0;0;;;
__export__.sale_order_53660_dc6cdeca;44376,68627;SO-INS-145250;AMP-S061;[AMP-S061] Малина v4 (8 ГБ);1;3308,844;12740;InSales;Fully Paid;Fully Shipped
;;;DLV-OFFICE;Самовывоз из магазина;1;0;0;;;
;;;DLV-OFFICE;Самовывоз из офиса;1;0;0;;;
;;;DLV-OFFICE;Самовывоз из офиса;1;0;0;;;
__export__.sale_order_53659_4e839704;44376,68551;SO-INS-145249;AMP-S027;[AMP-S027] NYAN!;1;887,366;2490;InSales;Fully Paid;Fully Shipped
;;;AMP-B196;[AMP-B196] Барометр v2 (Troyka-модуль);1;477,228;840;;;
;;;AMP-X075;[AMP-X075] Батарейка CR1225;1;50,432;90;;;
;;;AMP-X028;[AMP-X028] Штырьковые соединители длинные (1×40);1;32,514;60;;;
;;;AMP-B087;[AMP-B087] Датчик шума (Troyka-модуль);1;404,806;740;;;
;;;AMP-B025;[AMP-B025] Резистивный датчик влажности почвы;1;77,743;150;;;
;;;AMP-B043;[AMP-B043] Часы реального времени (Troyka-модуль);1;285,592;470;;;
;;;AMP-B085;[AMP-B085] Четырёхкнопочная клавиатура (Troyka-модуль);1;195,153;360;;;
;;;AMP-B086-R;[AMP-B086-R] Четырёхразрядный индикатор (Troyka-модуль);1;423,343;940;;;
;;;DLV-PP;Доставка в пункт самовывоза;1;240;240;;;
;;;DLV-PP;Доставка в пункт самовывоза;1;0;0;;;
;;;DLV-PP;Доставка в пункт самовывоза;1;0;0;;;
__export__.sale_order_53658_2e2ad073;44376,65676;SO-INS-145248;AMP-X378;[AMP-X378] Геймпад Retroflag Classic USB Controller-J;1;-124,248;1390;InSales;Fully Paid;Partially Shipped
;;;AMP-X379;[AMP-X379] Геймпад Retroflag Classic USB Controller-M;1;467,257;1390;;;
;;;AMP-V17527;[AMP-V17527] Цветной сенсорный AMOLED HDMI-дисплей 5,5” / 1920×1080 в корпусе;1;2277,995;10290;;;
;;;DLV-OFFICE;Самовывоз из магазина;1;0;0;;;
;;;DLV-OFFICE;Самовывоз из офиса;1;0;0;;;
;;;DLV-OFFICE;Самовывоз из офиса;1;0;0;;;
__export__.sale_order_53657_ea2f03d0;44376,56316;SO-INS-145247;AMP-B017;[AMP-B017] Troyka Shield;1;413,694;740;InSales;Fully Paid;Fully Shipped
;;;AMP-B002;[AMP-B002] Аналоговый термометр (Troyka-модуль);1;169,961;310;;;
;;;AMP-B004;[AMP-B004] Датчик освещённости (Troyka-модуль);1;68,085;130;;;
;;;AMP-B007;[AMP-B007] Датчик Холла (Troyka-модуль);1;80,344;150;;;
;;;AMP-B008;[AMP-B008] Зуммер (Troyka-модуль);1;110,233;200;;;
;;;AMP-B009;[AMP-B009] Кнопка (Troyka-модуль);1;71,192;130;;;
;;;AMP-B003;[AMP-B003] Потенциометр (Troyka-модуль);1;160,739;260;;;
;;;DLV-AX;Доставка курьером по Москве;1;250;250;;;
;;;DLV-AX;Доставка курьером по Москве (Axilog);1;0;0;;;
;;;DLV-AX;Доставка курьером по Москве (Axilog);1;0;0;;;
__export__.sale_order_53656_63e553f7;44376,56167;SO-INS-145246;AMP-B073;[AMP-B073] SD картридер (Troyka-модуль);1;215,068;470;InSales;Fully Paid;Fully Shipped
;;;AMP-B081;[AMP-B081] Wi-Fi (Troyka-модуль);1;393,36;850;;;
;;;AMP-B066;[AMP-B066] Мини-Реле (Troyka-модуль);1;211,123;360;;;
;;;DLV-RUPOST;Посылка Почтой России;1;277;277;;;
;;;DLV-RUPOST;Почта России (Axilog);1;0;0;;;
;;;DLV-RUPOST;Почта России (Axilog);1;0;0;;;
__export__.sale_order_53655_a35aadb5;44376,54734;SO-INS-145245;AMP-B110;[AMP-B110] GPRS Shield;1;1809,517;3190;InSales;Fully Paid;Fully Shipped
;;;AMP-B030;[AMP-B030] Iskra Neo;1;406,357;1060;;;
;;;AMP-B019;[AMP-B019] Relay Shield (4 канала по 5 А);1;830,833;1440;;;
;;;DLV-PP;Доставка в пункт самовывоза;1;240;240;;;
;;;DLV-PP;Доставка в пункт самовывоза;1;0;0;;;
;;;DLV-PP;Доставка в пункт самовывоза;1;0;0;;;
__export__.sale_order_53653_1a5a8efd;44376,5134;SO-INS-145244;AMP-X102-FLA;[AMP-X102-FLA] Графический экран 128×64;1;553,152;1290;InSales;Fully Paid;Fully Shipped
;;;DLV-RUPOST;Посылка Почтой России;1;277;277;;;
;;;DLV-RUPOST;Почта России (Axilog);1;0;0;;;
;;;DLV-RUPOST;Почта России (Axilog);1;0;0;;;
__export__.sale_order_53652_c0fe8f90;44376,51192;SO-INS-145243;AMP-E021;[AMP-E021] STM32F407G-DISC1;3;3542,182;3190;InSales;Fully Paid;Fully Shipped
;;;DLV-PP;Доставка в пункт самовывоза;1;240;240;;;
;;;DLV-PP;Доставка в пункт самовывоза;1;0;0;;;
;;;DLV-PP;Доставка в пункт самовывоза;1;0;0;;;
__export__.sale_order_53650_45f449be;44376,50027;SO-INS-145242;AMP-X295;[AMP-X295] Алюминиевые радиаторы охлаждения для Raspberry Pi (2 шт.);2;178,371;130;InSales;Fully Paid;Fully Shipped
;;;AMP-X523;[AMP-X523] Медный радиатор охлаждения для Raspberry Pi;3;241,613;140;;;
;;;DLV-OFFICE;Самовывоз из магазина;1;0;0;;;
;;;DLV-OFFICE;Самовывоз из офиса;1;0;0;;;
;;;DLV-OFFICE;Самовывоз из офиса;1;0;0;;;
__export__.sale_order_53649_6615a986;44376,493;SO-INS-145241;AMP-E040;[AMP-E040] Raspberry Pi Pico (c ногами);2;529,631;790;InSales;Fully Paid;Fully Shipped
;;;DLV-OFFICE;Самовывоз из магазина;1;0;0;;;
;;;DLV-OFFICE;Самовывоз из офиса;1;0;0;;;
;;;DLV-OFFICE;Самовывоз из офиса;1;0;0;;;
__export__.sale_order_53648_d3c8d275;44376,49152;SO-INS-145240;AMP-S041;[AMP-S041] Планета XOD;1;2109,179;5240;InSales;Fully Paid;Fully Shipped
;;;DLV-AX;Доставка курьером по Москве;1;250;250;;;
;;;DLV-AX;Доставка курьером по Москве (Axilog);1;0;0;;;
;;;DLV-AX;Доставка курьером по Москве (Axilog);1;0;0;;;
__export__.sale_order_53647_141c0564;44376,48351;SO-INS-145239;USB3100-2;[USB3100-2] Блок питания Ginzzu GA-3311UW 2×USB / 5 В / 3100 мА;2;822,763;740;InSales;Fully Paid;Fully Shipped
;;;AMP-W009;[AMP-W009] Кабель USB (A — Micro USB);2;319,794;240;;;
;;;DLV-OFFICE;Самовывоз из магазина;1;0;0;;;
;;;DLV-OFFICE;Самовывоз из офиса;1;0;0;;;
;;;DLV-OFFICE;Самовывоз из офиса;1;0;0;;;
__export__.sale_order_53646_a648a4cf;44376,45902;SO-INS-145238;AMP-B061;[AMP-B061] Ethernet Shield;1;662,353;1390;InSales;Fully Paid;Fully Shipped
;;;AMP-B030;[AMP-B030] Iskra Neo;1;406,357;1060;;;
;;;AMP-X284;[AMP-X284] Встраиваемый блок питания (5 В, 3000 мА);1;531,173;1040;;;
;;;AMP-W003;[AMP-W003] Кабель питания от батарейки Крона;1;13,39;40;;;
;;;DLV-PP;Доставка в пункт самовывоза;1;240;240;;;
;;;DLV-PP;Доставка в пункт самовывоза;1;0;0;;;
;;;DLV-PP;Доставка в пункт самовывоза;1;0;0;;;
__export__.sale_order_53644_c9aef86b;44376,44731;SO-INS-145236;SEN0018;[SEN0018] Инфракрасный датчик движения;1;443,773;840;InSales;Fully Paid;Fully Shipped
;;;DLV-AX;Доставка курьером по Москве;1;250;250;;;
;;;DLV-AX;Доставка курьером по Москве (Axilog);1;0;0;;;
;;;DLV-AX;Доставка курьером по Москве (Axilog);1;0;0;;;
__export__.sale_order_53643_76c6c9d4;44376,44433;SO-INS-145235;A000009;[A000009] Бокс для Arduino;1;568,129;1390;InSales;Fully Paid;Fully Shipped
;;;DLV-PP;Доставка в пункт самовывоза;1;240;240;;;
;;;DLV-PP;Доставка в пункт самовывоза;1;0;0;;;
;;;DLV-PP;Доставка в пункт самовывоза;1;0;0;;;
__export__.sale_order_53642_5a8f8538;44376,4364;SO-INS-145234;AMP-P003;[AMP-P003] 3D-принтер Flying Bear Ghost 5;1;9459,69;32790;InSales;Fully Paid;Fully Shipped
;;;DLV-AX;Доставка курьером по Москве;1;250;250;;;
;;;DLV-AX;Доставка курьером по Москве (Axilog);1;0;0;;;
;;;DLV-AX;Доставка курьером по Москве (Axilog);1;0;0;;;
__export__.sale_order_53639_53f0cdc8;44376,42178;SO-INS-145233;AMP-X002;[AMP-X002] Breadboard;1;273,263;390;InSales;Fully Paid;Fully Shipped
;;;AMP-W006;[AMP-W006] Соединительные провода «мама-мама»;1;208,014;390;;;
;;;AMP-W007;[AMP-W007] Соединительные провода «мама-папа»;1;206,497;390;;;
;;;AMP-W021;[AMP-W021] Соединительные провода «папа-папа» (20 шт.);1;245,516;390;;;
;;;DLV-RUPOST;Посылка Почтой России;1;389;389;;;
;;;DLV-RUPOST;Почта России (Axilog);1;0;0;;;
;;;DLV-RUPOST;Почта России (Axilog);1;0;0;;;
__export__.sale_order_53633_a399f68a;44376,32569;SO-INS-145230;AMP-B144;[AMP-B144] Iskra Nano Pro;1;152,418;530;InSales;Fully Paid;Fully Shipped
;;;DLV-OFFICE;Самовывоз из магазина;1;0;0;;;
;;;DLV-OFFICE;Самовывоз из офиса;1;0;0;;;
__export__.sale_order_53631_c4738ec9;44376,31993;SO-INS-145229;AMP-V15203;[AMP-V15203] Камера (IR-CUT B) для Raspberry Pi;1;914,055;2440;InSales;Fully Paid;Fully Shipped
;;;AMP-S056;[AMP-S056] Малина v4 (4 ГБ);1;2349,282;10490;;;
;;;DLV-PP;Доставка в пункт самовывоза;1;240;240;;;
;;;DLV-PP;Доставка в пункт самовывоза;1;0;0;;;
;;;DLV-PP;Доставка в пункт самовывоза;1;0;0;;;
__export__.sale_order_53629_7cc3f8bf;44376,30911;SO-INS-145228;ABX00021;[ABX00021] Arduino Uno Wi-Fi Rev 2;1;969,866;4590;InSales;Fully Paid;Fully Shipped
;;;DLV-PP;Доставка в пункт самовывоза;1;240;240;;;
;;;DLV-PP;Доставка в пункт самовывоза;1;0;0;;;
;;;DLV-PP;Доставка в пункт самовывоза;1;0;0;;;
__export__.sale_order_53628_f2a4bbdf;44376,30263;SO-INS-145227;AMP-B065;[AMP-B065] Bluetooth HC-05 (Troyka-модуль);1;405,595;890;InSales;Fully Paid;Fully Shipped
;;;AMP-X183;[AMP-X183] Батарейный отсек 4 AA;1;86,294;130;;;
;;;DLV-OFFICE;Самовывоз из магазина;1;0;0;;;
;;;DLV-OFFICE;Самовывоз из офиса;1;0;0;;;
;;;DLV-OFFICE;Самовывоз из офиса;1;0;0;;;
__export__.sale_order_53627_fe4ad70b;44376,29615;SO-INS-145226;AMP-X145;[AMP-X145] Герметичный датчик температуры DS18B20;5;655,69;240;InSales;Fully Paid;Fully Shipped
;;;AMP-X203;[AMP-X203] Датчик уровня воды (прямой);5;389,06;240;;;
;;;DLV-EMS;Доставка службой EMS;1;750;750;;;
;;;DLV-EMS;EMS;1;0;0;;;
;;;DLV-EMS;EMS;1;0;0;;;
__export__.sale_order_53626_36ddb278;44376,26391;SO-INS-145225;AMP-S035;[AMP-S035] «Интернет вещей» — продолжение набора «Матрёшка»;1;1470,095;3240;InSales;Fully Paid;Fully Shipped
;;;AMP-S010;[AMP-S010] Матрёшка Z;1;1979,693;5240;;;
;;;AMP-S016;[AMP-S016] Микроник;1;525,129;990;;;
;;;DLV-PP;Доставка в пункт самовывоза;1;240;240;;;
;;;DLV-PP;Доставка в пункт самовывоза;1;0;0;;;
;;;DLV-PP;Доставка в пункт самовывоза;1;0;0;;;
__export__.sale_order_53625_548d34e5;44376,24365;SO-INS-145224;AMP-X414;[AMP-X414] Wi-Fi модуль ESP32 DevKit;1;401,213;840;InSales;Fully Paid;Fully Shipped
;;;AMP-B019;[AMP-B019] Relay Shield (4 канала по 5 А);1;830,833;1440;;;
;;;AMP-B181;[AMP-B181] Мини-Реле  (Zelo-модуль);3;313,267;340;;;
;;;AMP-B155;[AMP-B155] Понижающий преобразователь питания Arduino / 7–15 В → 5 В / 3 А;1;427,304;690;;;
;;;DLV-PP;Доставка в пункт самовывоза;1;240;240;;;
;;;DLV-PP;Доставка в пункт самовывоза;1;0;0;;;
;;;DLV-PP;Доставка в пункт самовывоза;1;0;0;;;
__export__.sale_order_53624_e324eab1;44376,20498;SO-INS-145223;AMP-S010;[AMP-S010] Матрёшка Z;1;1979,693;5240;InSales;Fully Paid;Fully Shipped
;;;DLV-PP;Доставка в пункт самовывоза;1;340;340;;;
;;;DLV-PP;Доставка в пункт самовывоза;1;0;0;;;
;;;DLV-PP;Доставка в пункт самовывоза;1;0;0;;;
__export__.sale_order_53623_09d61370;44376,00954;SO-INS-145222;AMP-V14628;[AMP-V14628] Цветной сенсорный HDMI-дисплей для Raspberry Pi 1024×600 / 7”;1;1329,389;5340;InSales;Fully Paid;Fully Shipped
